,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,236.94117647058823,13.342222222222224,0.0,1445.6931818181818,227,249,190,147,164,148
1,245.70886075949366,12.121921024546424,0.0,1451.1617647058824,214,192,124,128,143,136
2,245.21192052980132,9.87860072376357,0.0,1482.8854961832062,192,167,110,114,125,121
3,245.3926380368098,6.576472556894244,0.0,1536.5933333333332,141,155,103,111,120,117
4,231.02564102564102,4.733289357959543,0.0,1571.4074074074074,158,151,91,124,113,121
5,241.66803278688525,5.19860178970917,0.0,1506.327868852459,172,158,76,120,103,116
6,332.34039087947883,6.013940664802734,0.0,1548.2430830039525,237,225,89,187,157,178
7,377.396449704142,3.001269172607474,0.0,1611.520295202952,278,304,204,294,237,226
8,274.9160839160839,1.3023560552454334,0.0,1430.8983050847457,287,319,263,302,293,195
9,251.1443298969072,1.5507968722019936,0.0,1444.4268292682927,287,313,239,290,214,180
10,245.27941176470588,1.4518103537711382,0.0,1566.2380952380952,267,299,229,198,208,176
11,222.9102564102564,1.158369690867733,0.0,1282.109375,252,270,215,182,193,165
0,251.63440860215053,18.53129647154252,0.0,1507.5,251,271,196,146,187,87
1,276.44444444444446,15.73069069069069,0.0,1482.2307692307693,241,190,182,128,173,85
2,258.70394736842104,13.055870818915801,0.0,1541.7744360902257,218,167,162,103,144,73
3,256.37931034482756,11.317624703087887,0.0,1553.9943502824858,219,161,155,93,139,75
4,258.6477987421384,7.295068027210885,0.0,1650.3287671232877,155,165,155,91,151,67
5,307.2090163934426,7.60848252344416,0.0,1546.3349633251835,182,163,138,87,150,62
6,489.7230769230769,10.089328537170264,0.0,1720.6577946768061,246,241,215,115,216,79
7,387.80479452054794,4.126139424072923,0.0,1559.6775510204081,277,314,301,258,291,168
8,421.24657534246575,2.909325513196482,0.0,1561.7777777777778,280,320,315,281,222,132
9,452.5378151260504,3.253511445819138,0.0,1646.0,275,318,307,278,216,127
10,251.22093023255815,3.8191794488090784,0.0,1594.7702702702702,271,303,298,258,213,115
11,328.3095238095238,4.788091353996737,0.0,1520.442857142857,254,283,214,172,204,99
0,249.06521739130434,14.419489007724303,0.0,1490.3544303797469,233,235,166,200,154,134
1,256.4736842105263,12.547511312217194,0.0,1608.0487804878048,233,196,112,178,141,126
2,282.8775510204082,11.743853211009172,0.0,1495.3333333333333,232,127,100,160,131,122
3,239.5874125874126,9.693711521547934,0.0,1549.9407407407407,167,120,85,169,106,111
4,254.59509202453987,8.640243902439025,0.0,1488.8243243243244,178,119,75,167,97,102
5,293.4277108433735,8.177655677655679,0.0,1523.2825112107623,185,115,67,172,84,105
6,382.5363924050633,9.642177344475394,0.0,1587.376893939394,256,213,98,259,102,149
7,395.0845921450151,3.3106255355612686,0.0,1615.7003484320558,279,301,250,303,217,206
8,262.91875,1.9051141503911444,0.0,1496.5401459854015,283,309,273,310,271,188
9,275.96774193548384,1.8528606298743828,0.0,1401.7894736842106,272,307,254,309,200,185
10,284.1940298507463,2.311726452695615,0.0,1541.2711864406779,266,283,220,230,192,171
11,306.70666666666665,2.451345755693582,0.0,1285.6666666666667,248,250,196,215,176,157
0,284.7529411764706,15.729649794985551,0.0,1322.969696969697,219,232,225,170,175,81
1,321.311320754717,13.801472995090016,0.0,1546.05,208,203,149,152,155,73
2,286.8066666666667,12.58466091245376,0.0,1443.3587786259543,213,130,137,128,139,64
3,243.09285714285716,10.47648401826484,0.0,1529.2878787878788,164,129,121,134,126,56
4,259.2327044025157,8.299512601046125,0.0,1519.3680555555557,163,119,104,137,126,52
5,269.456570155902,7.677451673738803,0.0,1527.4888337468983,189,102,99,137,123,57
6,333.7624584717608,9.621552304069965,0.0,1603.842412451362,257,169,149,182,167,67
7,458.81632653061223,7.431208246947707,0.0,1598.420168067227,276,290,271,256,256,98
8,283.3831168831169,4.170772028434453,0.0,1443.4850746268658,284,300,289,298,304,103
9,300.9238095238095,3.925373134328358,0.0,1385.9777777777779,286,284,285,292,220,107
10,275.2105263157895,4.184754662321203,0.0,1469.828125,274,276,263,196,206,100
11,251.56578947368422,3.76456127829983,0.0,1323.623188405797,244,257,243,183,183,91
0,247.5326086956522,15.33463048301758,0.0,1505.5443037974683,231,245,174,174,150,111
1,278.6442307692308,12.257185578999835,0.0,1631.9431818181818,225,226,102,145,130,98
2,273.975,10.191439299123903,0.0,1542.148148148148,210,162,93,139,105,90
3,271.6720430107527,8.56516129032258,0.0,1515.7843137254902,222,141,79,143,100,90
4,260.3757225433526,6.335532250789356,0.0,1544.7848101265822,159,134,82,164,103,97
5,275.18064516129033,6.312280701754386,0.0,1488.398514851485,166,127,78,179,109,101
6,386.88906009244994,10.618126351560086,0.0,1548.4409005628518,239,213,90,264,147,126
7,420.9756097560976,4.638110403397027,0.0,1512.013274336283,278,299,205,299,297,192
8,358.045197740113,2.7675324675324675,0.0,1565.8150684931506,282,303,235,311,229,180
9,283.9166666666667,2.970802701571933,0.0,1440.3456790123457,284,301,242,310,215,169
10,269.98837209302326,3.280305440661789,0.0,1364.9027777777778,256,296,230,218,191,156
11,284.0149253731343,3.5249738037024096,0.0,1477.5344827586207,241,276,211,197,164,138
0,297.11,17.56074800556247,0.0,1528.095238095238,241,230,167,172,180,61
1,269.8837209302326,15.321978021978023,0.0,1482.7083333333333,230,224,157,161,151,57
2,273.57553956834533,12.645547445255474,0.0,1472.7948717948718,209,152,138,135,133,55
3,242.50340136054422,9.917183908045978,0.0,1534.8450704225352,135,146,136,130,129,49
4,290.4125874125874,7.962756052141527,0.0,1550.7076923076922,139,139,138,118,135,47
